person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status,monthly_payment_est,income_per_year_of_emp,interest_income_ratio,credit_exp_ratio,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
71.0,1196097.0,35.4,3,11222.0,19.27,0.559,0,3.0,1.0,935.1666666666666,32859.807692307695,1.6110720024613367e-05,0.04225352112676056,0,0,0,0,1,0,0,0
94.0,3935586.0,24.9,3,25855.0,21.77,0.404,1,19.0,1.0,2154.5833333333335,151953.12741312743,5.531576356970383e-06,0.20212765957446807,0,1,0,1,0,0,0,0
41.0,658224.0,40.4,4,7210.0,19.51,0.674,0,30.0,1.0,600.8333333333334,15899.13043478261,2.9640320559079346e-05,0.7317073170731707,0,1,0,0,0,0,0,1
49.0,458418.0,38.5,2,15816.0,12.8,0.421,1,21.0,1.0,1318.0,11605.518987341773,2.7922053841572884e-05,0.42857142857142855,0,1,0,0,0,1,0,0
57.0,5729496.0,13.0,1,24963.0,17.62,0.65,1,22.0,1.0,2080.25,409249.71428571426,3.075313592100668e-06,0.38596491228070173,1,0,0,0,0,0,0,1
21.0,1476542.0,2.3,4,10703.0,10.18,0.222,0,6.0,0.0,891.9166666666666,447436.9696969697,6.894482585336153e-06,0.2857142857142857,0,0,1,0,0,1,0,0
79.0,4860854.0,17.0,2,28692.0,19.1,0.338,1,30.0,1.0,2391.0,270047.44444444444,3.929349877747845e-06,0.379746835443038,0,0,0,0,0,1,0,0
95.0,4812163.0,61.8,5,9886.0,18.93,0.318,0,18.0,1.0,823.8333333333334,76626.79936305733,3.933781142953565e-06,0.18947368421052632,0,0,1,0,0,0,0,1
77.0,1602099.0,38.1,2,11767.0,21.71,0.11,1,8.0,1.0,980.5833333333334,40974.3989769821,1.3550964359278448e-05,0.1038961038961039,0,0,1,0,0,0,0,0
41.0,4198463.0,17.8,3,32309.0,22.03,0.23,0,15.0,1.0,2692.4166666666665,223322.5,5.247157055532691e-06,0.36585365853658536,0,1,0,0,0,0,0,1
68.0,1199885.0,1.1,1,34391.0,19.53,0.464,1,15.0,1.0,2865.9166666666665,571373.8095238095,1.627654627189583e-05,0.22058823529411764,0,0,0,0,0,0,0,1
78.0,1978324.0,8.2,2,15499.0,21.25,0.781,0,17.0,1.0,1291.5833333333333,215035.21739130435,1.0741410031213273e-05,0.21794871794871795,0,0,0,0,0,0,0,0
61.0,5261623.0,45.1,7,23819.0,18.8,0.424,1,20.0,1.0,1984.9166666666667,114134.989154013,3.5730413271643888e-06,0.32786885245901637,0,1,0,1,0,0,0,0
79.0,3392445.0,0.2,2,28133.0,12.68,0.232,1,9.0,1.0,2344.4166666666665,2827037.5,3.737716090396133e-06,0.11392405063291139,1,0,0,0,0,0,1,0
99.0,2746974.0,61.1,4,19608.0,12.73,0.606,1,19.0,1.0,1634.0,44234.68599033816,4.634188516459014e-06,0.1919191919191919,0,1,0,0,0,0,0,1
66.0,4535211.0,60.0,1,13673.0,7.84,0.432,0,5.0,1.0,1139.4166666666667,74347.72131147541,1.7286953730057161e-06,0.07575757575757576,0,0,1,0,0,1,0,0
81.0,2588182.0,77.6,6,7525.0,17.21,0.82,1,22.0,1.0,627.0833333333334,32928.52417302799,6.649452530984092e-06,0.2716049382716049,0,1,0,0,0,1,0,0
70.0,1812286.0,9.8,4,13049.0,19.52,0.418,1,2.0,1.0,1087.4166666666667,167804.25925925924,1.0770920941329932e-05,0.02857142857142857,0,0,0,0,0,0,0,0
74.0,4869313.0,19.0,5,30452.0,19.56,0.76,0,20.0,1.0,2537.6666666666665,243465.65,4.016992948082625e-06,0.2702702702702703,1,0,0,0,0,1,0,0
83.0,2801921.0,40.5,7,3963.0,14.555,0.674,0,25.0,1.0,330.25,67516.1686746988,5.1946485305443905e-06,0.30120481927710846,1,0,0,0,0,0,0,1
70.0,445904.0,48.5,5,29209.0,6.54,0.813,0,29.0,1.0,2434.0833333333335,9008.161616161617,1.4666801224476065e-05,0.4142857142857143,0,0,0,0,0,0,0,1
92.0,582526.0,62.9,7,1105.0,13.79,0.646,0,23.0,1.0,92.08333333333333,9116.21283255086,2.3672722466083116e-05,0.25,0,1,0,0,0,1,0,0
37.0,841393.0,12.6,4,32729.0,23.09,0.515,0,25.0,1.0,2727.4166666666665,61867.132352941175,2.7442553666890898e-05,0.6756756756756757,1,0,0,0,0,0,0,1
72.0,2880280.0,53.0,5,17332.5,19.26,0.52,1,11.0,1.0,1444.375,53338.51851851852,6.686847567997706e-06,0.1527777777777778,0,0,0,0,0,0,0,0
54.0,3645771.0,44.1,1,15968.0,8.22,0.374,0,13.0,1.0,1330.6666666666667,80837.49445676275,2.254666501361029e-06,0.24074074074074073,0,1,0,0,0,1,0,0
97.0,4083441.0,46.6,1,29349.0,7.47,0.707,0,16.0,1.0,2445.75,85786.5756302521,1.8293390722826478e-06,0.16494845360824742,0,1,0,0,1,0,0,0
100.0,5360430.0,51.4,1,8674.0,13.1,0.276,1,24.0,1.0,722.8333333333334,102298.2824427481,2.443833341013064e-06,0.24,0,1,0,0,0,1,0,0
